"Gender","MaritalStatus","NumDependents","Age","Income","EducationLevel","Tenure","CustomerSegment","CommChannel","CreditScore","CreditHistLength","OutstandingLoans","Churn","Balance","NumProducts","NumComplaints"
"Male","Divorced",3,37,77710.14,"High School",30,"Retail","Phone",397,24,41959.74,"0",211359.05,1,0
"Female","Single",1,70,9794.01,"High School",14,"Retail","Email",715,21,43270.54,"0",111956.61,2,6
"Male","Single",0,37,55608.75,"Bachelor's",15,"Retail","Email",809,27,37218.81,"1",31206.81,2,10
"Female","Single",1,48,22032.61,"Diploma",15,"Retail","Email",690,29,26200,"0",198443.5,2,1
"Male","Divorced",4,31,73462.72,"Diploma",3,"Corporate","Email",605,30,25156.25,"0",96378.05,4,6
"Male","Divorced",3,23,30054.43,"Bachelor's",20,"Corporate","Phone",634,16,41854.08,"0",108395.17,5,1
"Female","Divorced",5,33,24129.53,"Master's",21,"SME","Phone",831,10,30914.02,"0",99830.84,4,5
"Male","Divorced",5,30,17009.77,"High School",22,"Corporate","Phone",332,14,35937.1,"0",122931.63,5,9
"Female","Single",2,74,83160.48,"Diploma",12,"SME","Email",688,9,41808.44,"0",216944.39,2,8
"Female","Single",1,28,35415.53,"High School",22,"SME","Email",750,12,35513.69,"0",31446.19,2,0
"Female","Married",4,68,44108.56,"Diploma",22,"SME","Email",609,28,46330.11,"0",126906.93,3,10
"Male","Single",2,68,10051.24,"Diploma",13,"Corporate","Phone",678,3,15156.6,"0",143624.95,2,10
"Male","Divorced",2,28,19725.99,"Master's",23,"Retail","Email",399,22,31765.09,"1",18249.32,4,10
"Male","Married",1,50,19632.81,"Master's",8,"Corporate","Email",744,17,7803.87,"0",72541.01,4,10
"Female","Single",0,42,69930.91,"High School",14,"Retail","Email",790,8,29280.66,"0",60845.11,1,6
"Male","Married",1,61,65032.92,"Master's",26,"Corporate","Email",414,12,2381.23,"0",141183.72,2,3
"Male","Single",0,34,39981.11,"Bachelor's",25,"Retail","Phone",437,2,6761.18,"1",75231.59,2,9
"Male","Single",0,64,91831.65,"Master's",18,"SME","Phone",394,27,6976.75,"0",235451.48,5,1
"Female","Divorced",0,20,78471.18,"Master's",24,"Corporate","Email",393,21,5417.06,"0",83954.38,3,1
"Male","Married",0,40,92292.74,"High School",16,"Retail","Phone",520,29,36332.9,"0",169581.13,3,0
"Male","Married",4,59,52775.33,"High School",16,"Retail","Phone",515,26,5663.8,"0",233471.12,4,8
"Male","Married",1,61,14710.59,"High School",13,"SME","Phone",559,28,39797.76,"0",114903.09,2,0
"Male","Divorced",1,75,46317.6,"High School",26,"Retail","Email",387,22,12373.92,"0",224404.73,4,0
"Female","Single",4,45,40613.05,"Bachelor's",28,"Retail","Phone",309,29,16896.93,"0",88966.86,4,0
"Male","Divorced",2,54,57344.57,"High School",8,"SME","Phone",829,5,37993.92,"0",40478.17,4,6
"Male","Divorced",4,47,71236.42,"High School",24,"SME","Phone",683,15,23390.07,"0",248242.41,5,4
"Female","Divorced",1,71,88336.88,"High School",3,"SME","Phone",617,11,42389.15,"0",87306.22,4,4
"Female","Married",3,53,80229.05,"Diploma",12,"Retail","Phone",800,15,46050.22,"0",177098.69,3,9
"Male","Single",2,49,98732.96,"High School",26,"Retail","Phone",682,22,29249.65,"0",196614.71,5,2
"Male","Single",5,28,50627.29,"Bachelor's",8,"Corporate","Phone",459,6,6271.79,"1",40373.67,3,10
"Female","Divorced",0,67,21518.49,"Master's",23,"SME","Phone",364,2,5232.36,"0",127097.74,1,4
